#,T% in a parallel beam at AOI 5 deg,,,,
# Wavelength[nm],Location 1,Location 2,Location 3,Location 4,Location 5
855.4 ,99.4688,99.5368,99.5705,99.4259,9.93E+01
855.2 ,98.9573,99.1068,99.0482,99.09,99.0955
855.0 ,99.3214,99.1328,99.1643,99.2149,9.92E+01
854.8 ,98.9705,99.2928,99.5229,99.5719,9.95E+01
854.6 ,99.2239,99.4469,99.6722,99.7099,9.94E+01
854.4 ,99.115,99.3446,99.236,99.6456,99.2812
854.2 ,99.2302,98.8319,99.1998,99.4602,9.95E+01
854.0 ,99.1165,99.0603,99.4311,98.8966,9.93E+01
853.8 ,99.7019,99.0178,99.5049,99.7613,99.3007
853.6 ,98.9091,98.9076,98.999,98.9345,9.95E+01
853.4 ,99.4792,99.2008,99.2638,99.7871,9.97E+01
853.2 ,99.5934,99.4235,99.5344,99.6723,9.99E+01
853.0 ,99.2274,99.5736,99.3549,99.1324,9.95E+01
852.8 ,99.3536,99.2001,99.3238,99.4534,9.95E+01
852.6 ,99.357,99.4115,99.441,99.3497,9.96E+01
852.4 ,99.3937,99.5097,99.6266,99.6561,9.95E+01
852.2 ,99.5572,99.6398,99.744,99.5088,9.99E+01
852.0 ,99.1606,99.3712,99.2778,99.0902,99.2387
851.8 ,99.7178,99.7461,99.7685,99.3486,9.93E+01
851.6 ,99.2159,99.7885,99.6738,99.6429,9.93E+01
851.4 ,99.5536,99.4675,99.477,99.5769,9.92E+01
851.2 ,99.5179,99.253,99.3592,99.6045,9.92E+01
851.0 ,99.9788,99.5632,99.5234,99.8704,9.95E+01
850.8 ,99.0126,99.528,99.4129,98.9922,9.90E+01
850.6 ,99.6635,99.667,99.6543,99.4115,9.93E+01
850.4 ,99.3368,99.295,99.2367,99.3867,9.91E+01
850.2 ,98.8703,99.2307,99.1123,99.1156,9.92E+01
850.0 ,98.4157,98.862,99.3544,99.3279,9.95E+01
849.8 ,98.5174,98.8166,99.2134,98.6568,99.0697
849.6 ,99.2563,98.7508,99.7348,99.5418,100.447
849.4 ,98.5542,98.3023,98.863,98.5449,98.837
849.2 ,98.9577,98.6396,98.8151,99.0617,9.91E+01
849.0 ,99.6264,99.3172,100.305,99.9397,99.7207
848.8 ,99.3664,98.8028,98.8832,100.033,99.7446
848.6 ,100.638,99.3021,99.238,100.082,100.072
848.4 ,98.0039,98.3521,98.5159,99.102,98.6992
848.2 ,99.1365,98.3742,98.6516,100.185,98.864
848.0 ,97.8462,98.6438,97.8391,98.4179,98.7195
847.8 ,98.1385,98.9719,98.7626,98.9586,98.763
847.6 ,98.5623,99.1211,98.9298,99.5232,99.9944
847.4 ,99.7269,99.5244,99.6075,100.097,99.8501
847.2 ,99.399,99.6844,99.6695,99.0865,100.034
847.0 ,98.6769,99.2592,99.3884,99.334,9.86E+01
846.8 ,99.5607,100.584,100.261,100.114,100.709
846.6 ,99.0394,99.1825,99.6532,99.6839,98.5362
846.4 ,99.1259,99.3408,98.831,99.8498,98.9227
846.2 ,98.084,97.9082,98.5893,97.7225,98.9811
846.0 ,99.0383,99.495,98.2689,99.1913,99.0979
845.8 ,99.3483,99.3766,99.0536,98.4639,99.305
845.6 ,99.2376,98.9759,98.4908,98.9353,98.9628
845.4 ,98.8147,98.2901,98.9747,98.6301,9.97E+01
845.2 ,99.1318,98.4775,99.0524,99.6344,99.178
845.0 ,98.8794,99.2591,98.2035,98.7732,99.1169
844.8 ,98.5251,99.0117,97.9707,98.3965,98.4204
844.6 ,98.4066,97.8874,98.0194,97.8721,97.366
844.4 ,98.4572,99.5091,98.6138,98.202,95.3542
844.2 ,98.6911,98.6885,98.1833,98.1297,9.31E+01
844.0 ,98.1315,98.547,98.8409,98.4391,90.6413
843.8 ,99.0481,99.1771,98.9801,98.7788,85.7543
843.6 ,99.3135,99.3612,99.0003,99.3728,80.326
843.4 ,97.6731,97.6408,97.8216,98.7023,72.2098
843.2 ,98.4544,97.7366,98.4013,98.4985,65.6911
843.0 ,95.2478,95.4747,96.0347,96.8531,57.285
842.8 ,94.1691,94.2402,94.8757,95.5858,48.8379
842.6 ,89.4533,90.538,90.4332,91.9481,40.5717
842.4 ,83.8242,85.4502,84.6646,87.1374,3.29E+01
842.2 ,77.7938,79.1096,79.8847,80.9166,26.5264
842.0 ,70.8636,71.7713,71.6264,73.8756,21.3547
841.8 ,62.4562,63.6764,63.9308,66.1067,16.8709
841.6 ,52.4426,54.223,54.266,56.9805,13.0683
841.4 ,44.4568,46.4019,45.8677,47.4841,10.3462
841.2 ,36.1793,38.2876,37.9413,39.7495,7.8099
841.0 ,29.73,31.061,31.1523,32.5087,6.69595
840.8 ,23.2193,24.5432,24.5189,25.8337,5.31784
840.6 ,17.986,19.2943,19.198,20.3632,4.05122
840.4 ,14.5699,15.134,15.11,16.2318,2.90194
840.2 ,11.3154,11.889,11.5985,12.6806,2.63414
840.0 ,8.57928,9.13895,9.42745,10.1021,2.06766
839.8 ,6.80023,7.08642,6.84763,7.27861,1.53784
839.6 ,5.34014,5.70949,5.47278,5.4544,1.15525
839.4 ,4.14067,4.42352,4.28033,4.23103,1.03253
839.2 ,3.35473,3.79107,3.24489,3.32906,0.92252
839.0 ,2.25717,2.98299,2.44122,2.62425,0.504351
838.8 ,2.15635,1.6716,2.53997,2.28578,0.674012
838.6 ,1.51411,1.97004,1.30344,1.51086,2.33E-01
838.4 ,0.957231,1.71914,1.00278,1.0534,0.013474
838.2 ,1.44166,0.703636,1.28882,1.06955,0.464824
838.0 ,0.817304,0.604311,0.792006,0.906045,0.013239
837.8 ,0.90693,0.860869,0.789365,0.68638,0.133872
837.6 ,0.777415,0.329589,0.967121,0.684275,3.45E-01
837.4 ,0.564986,0.45833,0.403885,0.38981,0.186182
837.2 ,0.498123,0.446317,0.357338,0.545231,1.03E-01
837.0 ,0.37037,0.077178,0.574884,0.714418,0.186224
836.8 ,0.257269,0.24785,0.326485,0.048898,0.149412
836.6 ,0.375177,0.358645,0.06385,0.093099,2.32E-01
836.4 ,0.65594,0.119223,0.253652,0.241531,0.338756
836.2 ,0.014741,0.120755,0.321747,0.011804,0.11534
836.0 ,0.161043,0.223069,0.014601,0.038025,0.070016
835.8 ,0.136192,0.115509,0.21096,0.083621,0.092603
835.6 ,0.103191,0.011488,0.04881,0.091288,0.129271
835.4 ,0.011257,0.258373,0.090323,0.169396,0.124833
835.2 ,0.243717,0.036505,0.179219,0.089582,0.327889
835.0 ,0.361504,0.318346,0.417703,0.238575,0.273498
834.8 ,0.251997,0.0137,0.187963,0.195818,2.71E-01
834.6 ,0.054125,0.228225,0.154605,0.444657,0.219368
834.4 ,0.331795,0.160015,0.233407,0.104504,0.266496
834.2 ,0.029095,0.010603,0.085309,0.229928,0.170369
834.0 ,0.039304,0.303847,0.136565,0.13888,0.023741
