BJD TDB,Target Relative Flux,Error
2459924.999136,5.240768216479008,2.6989814452800633
2459924.9999116,6.775893321003812,4.108522881677397
2459925.0006871,1.6988956097954144,1.5523623339487116
2459925.0014625,4.150499903225358,3.8631721877481113
2459925.0022382,5.001249145750286,1.8636743745987783
2459925.0030137,1.5430073629632002,2.999915182503888
2459925.0037891,3.226260115225532,3.9999345955320917
2459925.0045648,1.2187673804020527,2.418569224438142
2459925.0053405,2.4946639119023395,4.363669808251759
2459925.0061159,1.3732860739317232,2.864973573282681
2459925.0068915,1.8308991109341477,2.071027224070538
2459925.0076669,3.250588689612366,2.474980149354631
2459925.0084425,0.8654659158733313,3.28379288379128
2459925.0092181,2.4947590678854326,2.5615683221111833
2459925.0099936,3.0585008037462558,3.7321794441960114
2459925.0107692,-1.2232580830756623,4.6874335499346484
2459925.0115447,0.10506355856065852,3.154766605144137
2459925.01232,1.851072756814398,3.281025552113008
2459925.0130956,-0.23167564482107217,2.112472696867167
2459925.0138711,-1.4676468084330319,3.775957402055301
2459925.0146467,-1.0098468978851916,3.278858067108236
2459925.0154222,-1.2118161420626716,5.273696467089812
2459925.0161977,1.0974758763582226,3.543273133899737
2459925.016985,-2.286285926831999,1.9341003029828243
2459925.0177605,-1.5525136453107269,3.0348284384841793
2459925.018536,-1.3105036654897928,3.247694922037647
2459925.0193116,-4.764380518293754,4.798796150820633
2459925.020087,-2.1383755224776424,1.6130659986540632
2459925.0208624,-1.9367501437707046,3.2693083309293733
2459925.021638,-3.9240594950512575,4.055764860329156
2459925.0224134,-2.643220816180736,3.249930722977974
2459925.0231889,-1.8294339837201523,3.2680340679767337
2459925.0239645,-2.6628890490874024,3.3756997836876037
2459925.0247399,-3.8123194306151076,2.1109625333658486
2459925.0255156,-3.016894738760545,1.9799797329401414
2459925.0262909,-2.3842698688263386,2.444988197654916
2459925.0270665,-2.6244118041924835,2.135440955454562
2459925.0278421,-1.2944099441188905,3.5482637577218092
2459925.0286176,-4.457593731151399,3.7559461881349963
2459925.029393,-1.627466937256905,3.5401821286345503
2459925.0301686,-0.5611586928153667,2.848129557063041
2459925.0309441,-1.898536943808149,3.137638785975815
2459925.0317198,-4.648869883278728,2.1159347474281462
2459925.0332707,-4.835019406707164,3.3371704183517084
2459925.0340461,-3.265582306981374,2.709732775861715
2459925.0348219,-3.97695614863236,3.630232749020749
2459925.0355973,-5.112507547123224,2.9823012892883285
2459925.0363728,-2.320532511365214,2.927049412138627
2459925.0371484,-5.471761616716253,4.47596064490318
2459925.0379359,-4.869949892113312,3.1088644430302192
2459925.0387111,-4.26621123710802,4.4562860554138695
2459925.0394867,-5.461070288667491,3.116762875923252
2459925.0402622,-7.7197572787809365,2.9634073382129236
2459925.0410376,-4.581131094279156,2.567055045052181
2459925.0418132,-6.065785532267665,2.5585202484917495
2459925.0425887,-6.579509444022191,2.805672330782888
2459925.0433643,-4.320068524184761,2.6941061899443364
2459925.0441398,-5.793432582220315,4.342983935815107
2459925.0449154,-5.957120582893771,2.485773870831724
2459925.0456909,-7.1888200300913585,4.078191250497257
2459925.0464664,-7.311497894826324,1.8826631551482789
2459925.0472419,-5.0887741678435905,3.1870993734867716
2459925.0480175,-5.988278648933254,2.8960220003479638
2459925.0487931,-6.675383673513058,3.5889838551156
2459925.0495686,-5.297459574442498,3.953356683277149
2459925.0503442,-9.483241685799948,4.107198003129025
2459925.0511196,-9.415591281343062,2.7394975067304204
2459925.0518952,-6.782365468132934,5.5124476056260345
2459933.9301798,-0.4101822044174641,2.1676855783845244
2459933.9332818,-0.45332815597232123,1.3122728917096362
2459933.9340573,-1.605847338358668,3.67037715882787
2459933.9356083,2.246197899446134,2.106346443324794
2459933.936384,1.4815717341163381,1.8495199414054655
2459933.9371593,1.9977021835602127,2.2194984077958835
2459933.9379349,2.4563881230867946,2.6621017951245283
2459933.9387103,2.7381826590389124,5.076955396652753
2459933.9394859,2.485614465406627,1.567265822058099
2459933.9402614,2.018556667430227,2.356032154437538
2459933.9410369,0.631331418055936,2.3247383315622314
2459933.9425881,5.917847892321193,3.4165669526695646
2459933.9433636,0.5145803301711549,3.4438338689621757
2459933.9449381,3.2835321532651562,1.9688910554935213
2459933.9457135,3.6126556399007637,2.614348426249615
2459933.9465005,-0.9316576032554202,6.56867362830374
2459933.9472761,3.216669247154691,2.9918065205214153
2459933.9480516,2.2444030403980797,3.0685977752383464
2459933.948827,5.550722161457244,2.423974492562336
2459933.9496025,4.1424546969481835,1.1798494014339884
2459933.962798,10.300139086281579,3.0306628718501707
2459933.9635735,8.535727552790195,2.354183601191888
2459933.9651245,11.555005447747568,3.0694875898818714
2459933.9666873,10.982187881621863,2.0751805985067655
2459933.9674629,8.97040640902702,2.872229744400978
2459933.9682383,10.755843325654935,2.0785114792021724
2459933.9690138,10.783519051937418,3.252168569176622
2459933.9697894,12.864744900496161,3.2582637022539322
2459933.9705649,12.824176991867109,2.795918923422937
2459933.9713404,13.91964700082493,1.805130468653924
2459933.9721159,12.905977050483797,1.2747710490655206
2459933.9728913,11.400469654625045,2.0837108285021793
2459933.9736669,12.300329460104509,1.9232224531423947
2459933.9744423,11.539311624234827,2.4648540954429654
2459933.975218,13.188027088390175,2.816029896954317
2459933.9759936,12.853130966184567,3.109859438032969
2459933.9767691,13.022513085473086,2.1447380693043354
2459933.9775446,9.968526121882482,5.166044550323203
2459933.9783201,12.353361729743328,3.1879179443452785
2459933.9790958,12.809343931405648,3.7220666169097485
2459933.9798712,11.644517586679726,2.611838416903458
2459933.9806469,11.616199952032558,2.5812581424414476
2459933.9814224,14.780117056513387,3.1701333325951877
2459933.9821979,10.607951797159343,1.9614726410344345
2459933.9829735,10.960279793243766,2.092920203033234
2459933.9837606,10.42601613678995,1.3952416747971574
2459935.9204166,11.916230754352108,2.704159904707574
2459935.9211919,11.72094102137633,5.4743838599703665
2459935.9219676,9.32976330695956,1.6999442443381656
2459935.922743,10.089004345683383,2.4683608323046915
2459935.9235185,11.741379274148755,3.233621071919997
2459935.9242941,48.94122141684765,2.979814809330813
2459935.9250695,46.86840823836946,2.866752945343127
2459935.9258452,34.93496720307099,1.6530116496435545
2459935.9266207,31.34214762614773,3.2648063453825555
2459935.9273962,31.59175807395509,2.81282123239889
2459935.9281718,28.178924774836076,2.664639246953961
2459935.9289474,28.512709114250747,2.0247707600207474
2459935.9297227,25.030102079198315,2.202224438535896
2459935.9304983,20.76228279600212,3.806437046304327
2459935.9312738,18.201801269888573,2.1543904177292266
2459935.9320493,16.847346211709578,2.5793184305948005
2459935.9328248,17.09826718712271,2.7588578525244456
2459935.9336002,15.37581656821474,2.461699147058526
2459935.9343758,12.698300181391398,2.98475474466245
2459935.9351513,12.573600221744918,2.7546615505683083
2459935.9359269,12.16922106857865,2.100159430148291
2459935.9367025,11.548814044717304,2.478570194815719
2459935.9374781,12.977685369806702,2.4739373453260343
2459935.9382536,12.000628672276248,2.7517773860567876
2459935.9398287,12.28866129520334,1.622749306384076
2459935.9406148,9.5800470735945,2.0927723164388294
2459935.9413905,10.922674267962229,10.23257525469259
